Date,^GSPC,^DJI,^GSPTSE,QQQM,SFY,VDY.TO,XHU.TO,CADUSD=X,CAD=X
2008-11-21,800.030029296875,8046.419921875,8155.39990234375,,,,,0.7871536016464233,1.270400047302246
2008-11-24,851.8099975585938,8443.3896484375,8440.900390625,,,,,0.810635507106781,1.2336000204086304
2008-11-25,857.3900146484375,8479.4697265625,8442.900390625,,,,,0.815727174282074,1.2259000539779663
2008-11-26,887.6799926757812,8726.6103515625,8643.5,,,,,0.8136696815490723,1.2289999723434448
2008-11-28,896.239990234375,8829.0400390625,9270.599609375,,,,,0.8093234300613403,1.2355999946594238
2008-12-01,816.2100219726562,8149.08984375,8406.2001953125,,,,,0.8022462725639343,1.246500015258789
2008-12-02,848.8099975585938,8419.08984375,8327.7998046875,,,,,0.8001280426979065,1.2497999668121338
2008-12-03,870.739990234375,8591.6904296875,8297.0,,,,,0.7975117564201355,1.2539000511169434
2008-12-04,845.219970703125,8376.240234375,8057.7998046875,,,,,0.7843752503395081,1.274899959564209
2008-12-05,876.0700073242188,8635.419921875,8117.0,,,,,0.7871536016464233,1.270400047302246
2008-12-08,909.7000122070312,8934.1796875,8567.099609375,,,,,0.797957181930542,1.2532000541687012
2008-12-09,888.6699829101562,8691.330078125,8397.599609375,,,,,0.79377681016922,1.2597999572753906
2008-12-10,899.239990234375,8761.419921875,8634.0,,,,,0.7956715226173401,1.2568000555038452
2008-12-11,873.5900268554688,8565.08984375,8391.900390625,,,,,0.8090615272521973,1.2359999418258667
2008-12-12,879.72998046875,8629.6796875,8515.5,,,,,0.8036001324653625,1.2444000244140625
2008-12-15,868.5700073242188,8564.5302734375,8461.7998046875,,,,,0.810044527053833,1.2345000505447388
2008-12-16,913.1799926757812,8924.1396484375,8724.099609375,,,,,0.8296001553535461,1.205399990081787
2008-12-17,904.4199829101562,8824.33984375,8724.099609375,,,,,0.8392078280448914,1.19159996509552
2008-12-18,885.280029296875,8604.990234375,8425.400390625,,,,,0.8311170339584351,1.2031999826431274
2008-12-19,887.8800048828125,8579.1103515625,8552.0,,,,,0.8246062397956848,1.2127000093460083
2008-12-22,871.6300048828125,8519.6904296875,8249.5,,,,,0.8204118609428406,1.2188999652862549
2008-12-23,863.1599731445312,8419.490234375,8311.900390625,,,,,0.8210854530334473,1.217900037765503
2008-12-24,868.1500244140625,8468.48046875,8310.599609375,,,,,0.8252868056297302,1.2116999626159668
2008-12-26,872.7999877929688,8515.5498046875,,,,,,0.8221655488014221,1.2163000106811523
2008-12-29,869.4199829101562,8483.9296875,8637.2998046875,,,,,0.8205464482307434,1.2187000513076782
2008-12-30,890.6400146484375,8668.3896484375,8830.7001953125,,,,,0.8249463438987732,1.2122000455856323
2008-12-31,903.25,8776.3896484375,8987.7001953125,,,,,0.8224360942840576,1.21589994430542
2009-01-02,931.7999877929688,9034.6904296875,9234.099609375,,,,,0.826856255531311,1.2094000577926636
2009-01-05,927.4500122070312,8952.8896484375,9285.5,,,,,0.8417508602142334,1.187999963760376
2009-01-06,934.7000122070312,9015.099609375,9472.099609375,,,,,0.8445232510566711,1.1841000318527222
2009-01-07,906.6500244140625,8769.7001953125,9121.2998046875,,,,,0.8359805941581726,1.1962000131607056
2009-01-08,909.72998046875,8742.4599609375,9221.599609375,,,,,0.8465966582298279,1.1812000274658203
2009-01-09,890.3499755859375,8599.1796875,9085.2001953125,,,,,0.8392782807350159,1.191499948501587
2009-01-12,870.260009765625,8473.9697265625,8793.2998046875,,,,,0.8223007917404175,1.2160999774932861
2009-01-13,871.7899780273438,8448.5595703125,8961.599609375,,,,,0.8175946474075317,1.223099946975708
2009-01-14,842.6199951171875,8200.1396484375,8688.400390625,,,,,0.802890419960022,1.2454999685287476
